f,new_date,reading,hours_skipped,reading_diff,jump
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T19:00:00Z,239,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T23:00:00Z,240,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T03:00:00Z,241,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T07:00:00Z,242,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T11:00:00Z,243,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T15:00:00Z,244,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T19:00:00Z,245,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-28T23:00:00Z,246,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T03:00:00Z,247,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T07:00:00Z,248,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T11:00:00Z,249,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T15:00:00Z,250,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T19:00:00Z,251,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-29T23:00:00Z,252,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T03:00:00Z,253,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T07:00:00Z,254,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T11:00:00Z,255,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T15:00:00Z,256,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T19:00:00Z,257,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-30T23:00:00Z,258,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T03:00:00Z,259,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T07:00:00Z,260,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T11:00:00Z,261,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T15:00:00Z,262,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T19:00:00Z,263,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-31T23:00:00Z,264,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T03:00:00Z,265,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T07:00:00Z,266,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T11:00:00Z,267,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T15:00:00Z,268,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T19:00:00Z,269,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-01T23:00:00Z,270,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T03:00:00Z,271,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T07:00:00Z,272,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T11:00:00Z,273,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T15:00:00Z,274,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T19:00:00Z,275,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-02T23:00:00Z,276,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T03:00:00Z,277,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T07:00:00Z,278,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T11:00:00Z,279,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T15:00:00Z,280,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T19:00:00Z,281,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-03T23:00:00Z,282,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T03:00:00Z,283,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T07:00:00Z,284,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T11:00:00Z,285,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T15:00:00Z,286,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T19:00:00Z,287,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-04T23:00:00Z,288,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T03:00:00Z,289,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T07:00:00Z,290,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T11:00:00Z,291,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T15:00:00Z,292,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T19:00:00Z,293,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-05T23:00:00Z,294,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T03:00:00Z,295,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T07:00:00Z,296,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T11:00:00Z,297,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T15:00:00Z,298,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T19:00:00Z,299,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-06T23:00:00Z,300,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T03:00:00Z,301,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T07:00:00Z,302,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T11:00:00Z,303,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-06-07T15:00:00Z,304,2,1,1
